,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
44,58,female,1,free,little,little,6143,48,car
83,58,female,1,own,little,little,1755,24,vacation/others
147,51,female,2,own,moderate,,682,12,car
175,53,female,3,own,,,7485,30,car
211,45,female,1,own,,,3835,36,radio/TV
251,46,female,1,own,little,rich,2251,12,furniture/equipment
259,57,female,1,own,moderate,,1154,11,radio/TV
261,55,female,2,own,little,little,1603,24,radio/TV
263,57,female,1,free,little,,2748,12,education
288,49,female,2,own,little,moderate,1092,12,radio/TV
300,54,female,0,own,little,,672,6,car
317,48,female,1,own,,moderate,4351,24,furniture/equipment
374,60,female,3,free,moderate,moderate,14782,60,vacation/others
379,52,female,1,own,moderate,,362,6,car
396,55,female,3,free,little,little,2578,12,furniture/equipment
429,55,female,0,free,little,little,1190,18,repairs
448,55,female,3,own,,rich,1424,12,furniture/equipment
482,57,female,2,rent,rich,little,3622,30,furniture/equipment
539,45,female,1,own,little,rich,3049,18,furniture/equipment
584,52,female,3,free,,,2133,12,car
590,58,female,1,own,little,little,385,12,radio/TV
600,45,female,2,own,little,moderate,2329,7,radio/TV
607,50,female,2,free,moderate,moderate,2671,36,radio/TV
611,48,female,1,free,moderate,rich,1240,10,car
664,50,female,1,own,little,rich,1047,6,education
680,56,female,2,own,little,,1538,6,education
702,47,female,2,free,moderate,rich,1377,24,radio/TV
728,59,female,2,rent,little,moderate,6416,48,business
750,49,female,2,own,little,little,428,6,furniture/equipment
760,59,female,2,own,,,5045,15,car
801,48,female,1,rent,little,moderate,1795,18,radio/TV
815,54,female,2,rent,little,moderate,7432,36,car
885,53,female,2,own,little,little,795,12,education
908,46,female,1,own,little,,3594,15,car
944,46,female,2,rent,little,little,1845,15,furniture/equipment
955,57,female,3,rent,rich,little,1231,24,radio/TV
967,54,female,3,rent,little,,3568,15,radio/TV
975,57,female,1,own,quite rich,rich,1258,24,radio/TV
